term,category,shape,n_words,canonical_ok,evaluated_n,evaluated_caught,evaluated_rate,synthetic_n,synthetic_caught,synthetic_rate,failing_operators
802.11ax,networking,acronym_digits,1,yes,2,0,0.000,2,0,0.000,"spoken_digits, spoken_digits_spelled"
C2,security,acronym_digits,1,yes,2,0,0.000,2,0,0.000,"spoken_digits, spoken_digits_spelled"
FIDO2,security,acronym_digits,1,yes,2,0,0.000,2,0,0.000,"spoken_digits, spoken_digits_spelled"
IPv4,networking,acronym_digits,1,yes,2,0,0.000,2,0,0.000,"spoken_digits, spoken_digits_spelled"
IPv6,networking,acronym_digits,1,yes,2,0,0.000,2,0,0.000,"spoken_digits, spoken_digits_spelled"
SQL injection,security,phrase,2,yes,11,0,0.000,10,0,0.000,"consonant_swap, double_consonant, drop_last, merge_words, respell, spell_token, split_word, swap_words, vowel_swap"
TCP handshake,networking,phrase,2,yes,11,0,0.000,10,0,0.000,"consonant_swap, double_consonant, drop_last, merge_words, spell_token, split_word, swap_words, vowel_swap"
WPA2,networking,acronym_digits,1,yes,2,0,0.000,2,0,0.000,"spoken_digits, spoken_digits_spelled"
WPA3,networking,acronym_digits,1,yes,2,0,0.000,2,0,0.000,"spoken_digits, spoken_digits_spelled"
X.509,security,acronym_digits,1,yes,2,0,0.000,2,0,0.000,"spoken_digits, spoken_digits_spelled"
configuration management database,general,phrase,3,yes,10,0,0.000,10,0,0.000,"consonant_swap, double_consonant, drop_last, merge_words, respell, split_word, swap_words, vowel_swap"
security orchestration automation and response,security,phrase,5,yes,10,0,0.000,10,0,0.000,"consonant_swap, double_consonant, drop_filler, drop_last, merge_words, respell, split_word, swap_words, vowel_swap"
web application firewall,security,phrase,3,yes,10,0,0.000,10,0,0.000,"consonant_swap, double_consonant, drop_last, merge_words, respell, split_word, swap_words, vowel_swap"
endpoint detection and response,security,phrase,4,yes,10,1,0.100,10,1,0.100,"consonant_swap, double_consonant, drop_filler, drop_last, merge_words, respell, swap_words, vowel_swap"
one-time password,security,phrase,3,yes,10,1,0.100,10,1,0.100,"consonant_swap, double_consonant, drop_last, respell, split_word, swap_words, vowel_swap"
power-on self-test,hardware,phrase,4,yes,10,1,0.100,10,1,0.100,"add_suffix, consonant_swap, double_consonant, drop_last, respell, swap_words, vowel_swap"
round-trip time,networking,phrase,3,yes,10,1,0.100,10,1,0.100,"add_suffix, consonant_swap, double_consonant, drop_last, respell, swap_words, vowel_swap"
single sign-on,security,phrase,3,yes,10,1,0.100,10,1,0.100,"add_suffix, consonant_swap, double_consonant, drop_last, respell, swap_words, vowel_swap"
time-based one-time password,security,phrase,5,yes,10,1,0.100,10,1,0.100,"consonant_swap, double_consonant, drop_last, respell, split_word, swap_words, vowel_swap"
OCSP stapling,security,phrase,2,yes,11,3,0.273,10,2,0.200,"consonant_swap, double_consonant, drop_last, respell, split_word, swap_words, vowel_swap"
cross-site scripting,security,phrase,3,yes,10,2,0.200,10,2,0.200,"double_consonant, drop_last, respell, split_word, swap_words, vowel_swap"
functional escalation,general,phrase,2,yes,10,2,0.200,10,2,0.200,"double_consonant, drop_last, merge_words, split_word, swap_words, vowel_swap"
knowledge-centered service,general,phrase,3,yes,10,2,0.200,10,2,0.200,"consonant_swap, double_consonant, drop_last, respell, swap_words, vowel_swap"
privilege escalation,security,phrase,2,yes,10,2,0.200,10,2,0.200,"double_consonant, drop_last, merge_words, respell, split_word, swap_words"
