term,category,shape,n_words,family,operator,variant,outcome,exact,output,mozhi_edits
SSD,hardware,acronym,1,canonical,canonical,SSD,recovered,yes,please check the SSD now,
SSD,hardware,acronym,1,acronym_map,acronym_map,ess ess dee,recovered,yes,please check the SSD now,ess ess dee -> SSD
SSD,hardware,acronym,1,spelled,spelled_alt,es es di,recovered,yes,please check the SSD now,es es di -> SSD
HDD,hardware,acronym,1,canonical,canonical,HDD,recovered,yes,please check the HDD now,
HDD,hardware,acronym,1,acronym_map,acronym_map,aitch dee dee,recovered,yes,please check the HDD now,aitch dee dee -> HDD
HDD,hardware,acronym,1,spelled,spelled_alt,aich di di,recovered,yes,please check the HDD now,aich di di -> HDD
RAM,hardware,acronym,1,canonical,canonical,RAM,recovered,yes,please check the RAM now,
RAM,hardware,acronym,1,spelled,spelled,are ay em,recovered,yes,please check the RAM now,are ay em -> RAM
RAM,hardware,acronym,1,spelled,spelled_alt,arr a emm,recovered,yes,please check the RAM now,arr a emm -> RAM
RAM,hardware,acronym,1,synthetic,vowel_swap,rem,missed,no,please check the rem now,
RAM,hardware,acronym,1,synthetic,consonant_swap,ran,missed,no,please check the ran now,
RAM,hardware,acronym,1,synthetic,add_suffix,ramd,recovered,yes,please check the RAM now,ramd -> RAM
RAM,hardware,acronym,1,synthetic,vowel_swap,rum,missed,no,please check the rum now,
RAM,hardware,acronym,1,synthetic,consonant_swap,lam,missed,no,please check the lam now,
RAM,hardware,acronym,1,synthetic,add_suffix,ramt,recovered,yes,please check the RAM now,ramt -> RAM
RAM,hardware,acronym,1,synthetic,vowel_swap,rim,missed,no,please check the rim now,
RAM,hardware,acronym,1,synthetic,vowel_swap,rom,missed,no,please check the rom now,
CPU,hardware,acronym,1,canonical,canonical,CPU,recovered,yes,please check the CPU now,
CPU,hardware,acronym,1,acronym_map,acronym_map,sea pu,recovered,yes,please check the CPU now,sea pu -> CPU
CPU,hardware,acronym,1,acronym_map,acronym_map,see pu,recovered,yes,please check the CPU now,see pu -> CPU
CPU,hardware,acronym,1,acronym_map,acronym_map,sea pew,recovered,yes,please check the CPU now,sea pew -> CPU
CPU,hardware,acronym,1,spelled,spelled,see pea you,missed,no,please check the see pea you now,
CPU,hardware,acronym,1,spelled,spelled_alt,sea pe u,missed,no,please check the sea pe u now,
GPU,hardware,acronym,1,canonical,canonical,GPU,recovered,yes,please check the GPU now,
GPU,hardware,acronym,1,spelled,spelled,gee pea you,missed,no,please check the gee pea you now,
GPU,hardware,acronym,1,spelled,spelled_alt,jee pee ewe,missed,no,please check the jee pee ewe now,
BIOS,hardware,acronym,1,canonical,canonical,BIOS,recovered,yes,please check the BIOS now,
BIOS,hardware,acronym,1,acronym_map,acronym_map,bye os,recovered,yes,please check the BIOS now,bye os -> BIOS
BIOS,hardware,acronym,1,acronym_map,acronym_map,bio's,recovered,yes,please check the BIOS now,bio's -> BIOS
BIOS,hardware,acronym,1,spelled,spelled,bee eye oh ess,recovered,yes,please check the BIOS now,bee eye oh ess -> BIOS
BIOS,hardware,acronym,1,spelled,spelled_alt,be i owe es,recovered,yes,please check the BIOS now,be i owe es -> BIOS
BIOS,hardware,acronym,1,synthetic,vowel_swap,biis,recovered,yes,please check the BIOS now,biis -> BIOS
BIOS,hardware,acronym,1,synthetic,consonant_swap,pios,missed,no,please check the pios now,
BIOS,hardware,acronym,1,synthetic,add_suffix,biost,recovered,yes,please check the BIOS now,biost -> BIOS
BIOS,hardware,acronym,1,synthetic,respell,byos,missed,no,please check the byos now,
BIOS,hardware,acronym,1,synthetic,vowel_swap,buos,recovered,yes,please check the BIOS now,buos -> BIOS
BIOS,hardware,acronym,1,synthetic,consonant_swap,bioz,recovered,yes,please check the BIOS now,bioz -> BIOS
BIOS,hardware,acronym,1,synthetic,add_suffix,biosd,recovered,yes,please check the BIOS now,biosd -> BIOS
BIOS,hardware,acronym,1,synthetic,vowel_swap,baos,recovered,yes,please check the BIOS now,baos -> BIOS
BIOS,hardware,acronym,1,synthetic,vowel_swap,beos,recovered,yes,please check the BIOS now,beos -> BIOS
BIOS,hardware,acronym,1,synthetic,vowel_swap,boos,recovered,yes,please check the BIOS now,boos -> BIOS
HDMI,hardware,acronym,1,canonical,canonical,HDMI,recovered,yes,please check the HDMI now,
HDMI,hardware,acronym,1,acronym_map,acronym_map,aitch dee em eye,recovered,yes,please check the HDMI now,aitch dee em eye -> HDMI
HDMI,hardware,acronym,1,spelled,spelled_alt,aich di emm i,recovered,yes,please check the HDMI now,aich di emm i -> HDMI
HDMI,hardware,acronym,1,synthetic,vowel_swap,hdmo,recovered,yes,please check the HDMI now,hdmo -> HDMI
HDMI,hardware,acronym,1,synthetic,consonant_swap,htmi,recovered,yes,please check the HDMI now,htmi -> HDMI
HDMI,hardware,acronym,1,synthetic,double_consonant,hddmi,recovered,yes,please check the HDMI now,hddmi -> HDMI
HDMI,hardware,acronym,1,synthetic,respell,hdmy,recovered,yes,please check the HDMI now,hdmy -> HDMI
HDMI,hardware,acronym,1,synthetic,vowel_swap,hdmu,recovered,yes,please check the HDMI now,hdmu -> HDMI
HDMI,hardware,acronym,1,synthetic,consonant_swap,hdni,missed,no,please check the hdni now,
HDMI,hardware,acronym,1,synthetic,double_consonant,hdmmi,recovered,yes,please check the HDMI now,hdmmi -> HDMI
HDMI,hardware,acronym,1,synthetic,vowel_swap,hdma,recovered,yes,please check the HDMI now,hdma -> HDMI
HDMI,hardware,acronym,1,synthetic,vowel_swap,hdme,recovered,yes,please check the HDMI now,hdme -> HDMI
USB,hardware,acronym,1,canonical,canonical,USB,recovered,yes,please check the USB now,
USB,hardware,acronym,1,acronym_map,acronym_map,you ess bee,recovered,yes,please check the USB now,you ess bee -> USB
USB,hardware,acronym,1,spelled,spelled_alt,yu es be,recovered,yes,please check the USB now,yu es be -> USB
motherboard,hardware,single_word,1,canonical,canonical,motherboard,recovered,yes,please check the motherboard now,
motherboard,hardware,single_word,1,synthetic,vowel_swap,mothirboard,recovered,yes,please check the motherboard now,mothirboard -> motherboard
motherboard,hardware,single_word,1,synthetic,consonant_swap,modherboard,recovered,yes,please check the motherboard now,modherboard -> motherboard
motherboard,hardware,single_word,1,synthetic,double_consonant,motherbboard,recovered,yes,please check the motherboard now,motherbboard -> motherboard
motherboard,hardware,single_word,1,synthetic,drop_last,motherboar,recovered,yes,please check the motherboard now,motherboar -> motherboard
motherboard,hardware,single_word,1,synthetic,split_word,moth erboard,recovered,yes,please check the motherboard now,moth erboard -> motherboard
motherboard,hardware,single_word,1,synthetic,vowel_swap,motherbaard,recovered,yes,please check the motherboard now,motherbaard -> motherboard
motherboard,hardware,single_word,1,synthetic,consonant_swap,notherboard,recovered,yes,please check the motherboard now,notherboard -> motherboard
motherboard,hardware,single_word,1,synthetic,double_consonant,motherrboard,recovered,yes,please check the motherboard now,motherrboard -> motherboard
motherboard,hardware,single_word,1,synthetic,split_word,mothe rboard,recovered,yes,please check the motherboard now,mothe rboard -> motherboard
motherboard,hardware,single_word,1,synthetic,vowel_swap,motharboard,recovered,yes,please check the motherboard now,motharboard -> motherboard
firmware,hardware,single_word,1,canonical,canonical,firmware,recovered,yes,please check the firmware now,
firmware,hardware,single_word,1,synthetic,vowel_swap,fermware,recovered,yes,please check the firmware now,fermware -> firmware
firmware,hardware,single_word,1,synthetic,consonant_swap,firnware,recovered,yes,please check the firmware now,firnware -> firmware
firmware,hardware,single_word,1,synthetic,double_consonant,firmwware,recovered,yes,please check the firmware now,firmwware -> firmware
firmware,hardware,single_word,1,synthetic,drop_last,firmwar,recovered,yes,please check the firmware now,firmwar -> firmware
firmware,hardware,single_word,1,synthetic,respell,fyrmware,recovered,yes,please check the firmware now,fyrmware -> firmware
firmware,hardware,single_word,1,synthetic,split_word,firm ware,recovered,yes,please check the firmware now,firm ware -> firmware
firmware,hardware,single_word,1,synthetic,vowel_swap,firmwaro,recovered,yes,please check the firmware now,firmwaro -> firmware
firmware,hardware,single_word,1,synthetic,consonant_swap,virmware,recovered,yes,please check the firmware now,virmware -> firmware
firmware,hardware,single_word,1,synthetic,double_consonant,firmmware,recovered,yes,please check the firmware now,firmmware -> firmware
firmware,hardware,single_word,1,synthetic,split_word,fir mware,recovered,yes,please check the firmware now,fir mware -> firmware
API,software,acronym,1,canonical,canonical,API,recovered,yes,please check the API now,
API,software,acronym,1,acronym_map,acronym_map,ay pea eye,recovered,yes,please check the API now,ay pea eye -> API
API,software,acronym,1,acronym_map,acronym_map,ay p i,recovered,yes,please check the API now,ay p i -> API
API,software,acronym,1,spelled,spelled_alt,a pe i,recovered,yes,please check the API now,a pe i -> API
SDK,software,acronym,1,canonical,canonical,SDK,recovered,yes,please check the SDK now,
SDK,software,acronym,1,acronym_map,acronym_map,ess dee kay,recovered,yes,please check the SDK now,ess dee kay -> SDK
SDK,software,acronym,1,spelled,spelled_alt,es di kae,recovered,yes,please check the SDK now,es di kae -> SDK
IDE,software,acronym,1,canonical,canonical,IDE,recovered,yes,please check the IDE now,
IDE,software,acronym,1,acronym_map,acronym_map,eye dee ee,recovered,yes,please check the IDE now,eye dee ee -> IDE
IDE,software,acronym,1,spelled,spelled_alt,aye di e,recovered,yes,please check the IDE now,aye di e -> IDE
GUI,software,acronym,1,canonical,canonical,GUI,recovered,yes,please check the GUI now,
GUI,software,acronym,1,acronym_map,acronym_map,gooey,recovered,yes,please check the GUI now,gooey -> GUI
GUI,software,acronym,1,acronym_map,acronym_map,goo ey,recovered,yes,please check the GUI now,goo ey -> GUI
GUI,software,acronym,1,spelled,spelled,gee you eye,missed,no,please check the gee you eye now,
GUI,software,acronym,1,spelled,spelled_alt,jee u aye,missed,no,please check the jee u aye now,
CLI,software,acronym,1,canonical,canonical,CLI,recovered,yes,please check the CLI now,
CLI,software,acronym,1,acronym_map,acronym_map,see ell eye,recovered,yes,please check the CLI now,see ell eye -> CLI
CLI,software,acronym,1,spelled,spelled,see el eye,recovered,yes,please check the CLI now,see el eye -> CLI
CLI,software,acronym,1,spelled,spelled_alt,cee ell aye,recovered,yes,please check the CLI now,cee ell aye -> CLI
URL,software,acronym,1,canonical,canonical,URL,recovered,yes,please check the URL now,
URL,software,acronym,1,acronym_map,acronym_map,you are ell,recovered,yes,please check the URL now,you are ell -> URL
URL,software,acronym,1,spelled,spelled,you are el,recovered,yes,please check the URL now,you are el -> URL
URL,software,acronym,1,spelled,spelled_alt,yu arr ell,recovered,yes,please check the URL now,yu arr ell -> URL
DNS,networking,acronym,1,canonical,canonical,DNS,recovered,yes,please check the DNS now,
DNS,networking,acronym,1,acronym_map,acronym_map,dee en ess,recovered,yes,please check the DNS now,dee en ess -> DNS
DNS,networking,acronym,1,spelled,spelled_alt,di enn es,recovered,yes,please check the DNS now,di enn es -> DNS
DHCP,networking,acronym,1,canonical,canonical,DHCP,recovered,yes,please check the DHCP now,
DHCP,networking,acronym,1,acronym_map,acronym_map,dee aitch see pea,recovered,yes,please check the DHCP now,dee aitch see pea -> DHCP
DHCP,networking,acronym,1,spelled,spelled_alt,di haitch cee pee,recovered,yes,please check the DHCP now,di haitch cee pee -> DHCP
DHCP,networking,acronym,1,synthetic,consonant_swap,thcp,missed,no,please check the thcp now,
DHCP,networking,acronym,1,synthetic,double_consonant,dhccp,recovered,yes,please check the DHCP now,dhccp -> DHCP
DHCP,networking,acronym,1,synthetic,add_suffix,dhcpt,recovered,yes,please check the DHCP now,dhcpt -> DHCP
DHCP,networking,acronym,1,synthetic,consonant_swap,dhcb,missed,no,please check the dhcb now,
DHCP,networking,acronym,1,synthetic,double_consonant,dhhcp,recovered,yes,please check the DHCP now,dhhcp -> DHCP
DHCP,networking,acronym,1,synthetic,add_suffix,dhcpd,recovered,yes,please check the DHCP now,dhcpd -> DHCP
DHCP,networking,acronym,1,synthetic,consonant_swap,dhkp,recovered,yes,please check the DHCP now,dhkp -> DHCP
VPN,networking,acronym,1,canonical,canonical,VPN,recovered,yes,please check the VPN now,
VPN,networking,acronym,1,acronym_map,acronym_map,vee pea en,recovered,yes,please check the VPN now,vee pea en -> VPN
VPN,networking,acronym,1,spelled,spelled_alt,ve pe enn,recovered,yes,please check the VPN now,ve pe enn -> VPN
IP address,networking,phrase,2,canonical,canonical,IP address,recovered,yes,please check the IP address now,
IP address,networking,phrase,2,spelled_token,spell_token,eye pea address,garbled,no,please check the eye IP address now,pea address -> IP address
